country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hungary,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8
Iceland,100,100,100,100,100,100,100,100,100,100,100,100
India,56.3,59.4,62.5,53.1,43.8,50,50,56.3,62.5,56.3,56.3,56.3
Indonesia,62.5,62.5,62.5,59.4,56.3,56.3,56.3,62.5,62.5,62.5,62.5,56.3
Iran,56.3,53.1,50,37.5,25,25,25,25,25,31.3,31.3,31.3
Iraq,56.3,50,43.8,40.6,37.5,37.5,37.5,37.5,43.8,43.8,43.8,50
Ireland,87.5,87.5,87.5,87.5,87.5,81.3,81.3,87.5,87.5,93.8,100,100
Israel,75,75,75,75,75,75,75,75,75,75,75,75
Italy,81.3,81.3,81.3,81.3,81.3,75,75,75,75,81.3,81.3,81.3
Jamaica,62.5,62.5,62.5,62.5,62.5,62.5,68.8,68.8,68.8,68.8,68.8,68.8
Japan,87.5,87.5,87.5,81.3,75,75,75,75,75,75,75,75
Jordan,50,50,50,43.8,37.5,37.5,37.5,37.5,37.5,43.8,43.8,43.8
Kazakhstan,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8
Kenya,62.5,59.4,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3
Kuwait,56.3,53.1,50,46.9,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8
Kyrgyz Republic,50,46.9,43.8,43.8,43.8,43.8,43.8,43.8,43.8,50,37.5,43.8
Lao,50,50,50,50,50,50,50,50,50,50,50,50
Latvia,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,68.8,68.8,68.8,68.8
Lebanon,62.5,56.3,50,50,50,50,50,50,50,43.8,43.8,56.3
Lesotho,62.5,59.4,56.3,46.9,37.5,56.3,56.3,56.3,56.3,56.3,56.3,56.3
Liberia,56.3,56.3,56.3,53.1,50,50,50,50,50,50,50,50
Libya,50,50,50,50,50,62.5,62.5,56.3,56.3,56.3,56.3,56.3
Lithuania,56.3,59.4,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
Luxembourg,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5
"Macedonia, FYR",37.5,37.5,37.5,40.6,43.8,43.8,43.8,43.8,43.8,43.8,37.5,37.5
Madagascar,68.8,62.5,56.3,59.4,62.5,56.3,56.3,56.3,56.3,56.3,56.3,56.3
Malawi,43.8,50,56.3,56.3,56.3,56.3,62.5,62.5,62.5,62.5,62.5,62.5
Malaysia,75,75,75,68.8,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
Mali,56.3,56.3,56.3,56.3,56.3,56.3,31.3,62.5,62.5,62.5,62.5,62.5
Malta,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5
Mauritania,31.3,34.4,37.5,34.4,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
Mauritius,81.3,81.3,81.3,81.3,81.3,81.3,87.5,87.5,87.5,87.5,87.5,87.5
Mexico,50,50,50,50,50,50,50,50,50,43.8,43.8,43.8
Moldova,50,50,50,40.6,31.3,43.8,43.8,43.8,43.8,43.8,43.8,43.8
