id,country_id,index,year
254,139,62.5,2007
255,139,62.5,2008
256,139,59.4,2009
257,139,56.3,2010
258,139,56.3,2011
259,139,50.0,2012
260,139,50.0,2013
261,139,50.0,2014
262,139,50.0,2015
263,139,50.0,2016
264,139,50.0,2017
265,84,50.0,2006
266,84,50.0,2007
267,84,50.0,2008
268,84,50.0,2009
269,84,50.0,2010
270,84,50.0,2011
271,84,56.3,2012
272,84,56.3,2013
273,84,56.3,2014
274,84,50.0,2015
275,84,50.0,2016
276,84,56.3,2017
277,87,56.3,2006
278,87,53.1,2007
279,87,50.0,2008
280,87,50.0,2009
281,87,50.0,2010
282,87,50.0,2011
283,87,50.0,2012
284,87,50.0,2013
285,87,50.0,2014
286,87,50.0,2015
287,87,43.8,2016
288,87,43.8,2017
289,133,87.5,2006
290,133,87.5,2007
291,133,87.5,2008
292,133,87.5,2009
293,133,87.5,2010
294,133,87.5,2011
295,133,87.5,2012
296,133,87.5,2013
297,133,87.5,2014
298,133,87.5,2015
299,133,87.5,2016
300,133,87.5,2017
301,114,68.8,2006
302,114,65.7,2007
303,114,62.5,2008
304,114,65.7,2009
305,114,68.8,2010
306,114,62.5,2011
307,114,62.5,2012
308,114,62.5,2013
309,114,62.5,2014
310,114,62.5,2015
311,114,68.8,2016
312,114,68.8,2017
313,85,18.8,2006
314,85,18.8,2007
315,85,18.8,2008
316,85,21.9,2009
317,85,25.0,2010
318,85,25.0,2011
319,85,25.0,2012
320,85,25.0,2013
321,85,25.0,2014
322,85,25.0,2015
323,85,25.0,2016
324,85,18.8,2017
325,135,50.0,2006
326,135,46.9,2007
327,135,43.8,2008
328,135,43.8,2009
329,135,43.8,2010
330,135,37.5,2011
331,135,37.5,2012
332,135,37.5,2013
333,135,37.5,2014
334,135,37.5,2015
335,135,37.5,2016
336,135,37.5,2017
337,188,62.5,2006
338,188,62.5,2007
339,188,62.5,2008
340,188,65.7,2009
341,188,68.8,2010
342,188,62.5,2011
343,188,62.5,2012
344,188,68.8,2013
345,188,68.8,2014
346,188,68.8,2015
347,188,68.8,2016
348,188,75.0,2017
349,92,62.5,2006
350,92,62.5,2007
351,92,62.5,2008
352,92,59.4,2009
353,92,56.3,2010
354,92,56.3,2011
355,92,50.0,2012
356,92,50.0,2013
357,92,50.0,2014
358,92,62.5,2015
359,92,62.5,2016
360,92,62.5,2017
361,86,43.8,2006
362,86,43.8,2007
363,86,43.8,2008
364,86,40.6,2009
365,86,37.5,2010
366,86,37.5,2011
367,86,37.5,2012
368,86,37.5,2013
369,86,37.5,2014
370,86,43.8,2015
371,86,43.8,2016
372,86,50.0,2017
373,177,56.3,2006
